Data,Produto,Categoria,Quantidade Vendida,Preço Unitário,Total de Vendas,Loja,ID
3/1/2024,Smartfone B,Celular,2,2000,128000,Loja 1,40
2/24/2024,Notebook B,Computadores,2,2500,145000,Loja 1,41
3/14/2024,Tablet A,Celular,2,1100,61600,Loja 1,42
6/14/2024,Notebook B,Computadores,2,2500,100000,Loja 1,43
5/30/2024,Smartfone A,Celular,2,2200,211200,Loja 1,44
12/11/2024,Smartfone B,Celular,2,2000,112000,Loja 1,45
11/22/2024,Tablet B,Celular,2,1000,55000,Loja 1,46
9/7/2024,Tablet A,Celular,2,1100,83600,Loja 1,47
9/6/2024,Tablet B,Celular,2,1000,10000,Loja 1,48
12/27/2024,Smartfone A,Celular,2,2200,147400,Loja 1,49
10/11/2024,Smartfone B,Celular,2,2000,14000,Loja 1,50
12/5/2024,Tablet A,Celular,2,1100,61600,Loja 1,51
8/26/2024,Tablet B,Celular,2,1000,40000,Loja 1,52
8/28/2024,Notebook B,Computadores,2,2500,230000,Loja 1,53
4/15/2024,Tablet B,Celular,2,1000,24000,Loja 1,54
5/8/2024,Tablet B,Celular,2,1000,85000,Loja 1,55
5/30/2024,Smartfone A,Celular,2,2200,61600,Loja 1,56
5/26/2024,Smartfone B,Celular,2,2000,190000,Loja 1,57
12/12/2024,Tablet B,Celular,2,1000,67000,Loja 1,58
2/3/2024,Tablet A,Celular,2,1100,102300,Loja 1,59
1/25/2024,Tablet B,Celular,2,1000,37000,Loja 1,60
3/31/2024,Tablet B,Celular,2,1000,74000,Loja 1,61
6/4/2024,Tablet B,Celular,3,1000,62000,Loja 1,62
10/2/2024,Tablet B,Celular,3,1000,76000,Loja 1,63
11/3/2024,Tablet B,Celular,3,1000,82000,Loja 1,64
2/3/2024,Tablet B,Celular,3,1000,72000,Loja 1,65
1/25/2024,Smartfone B,Celular,3,2000,72000,Loja 1,66
7/2/2024,Notebook B,Computadores,3,2500,165000,Loja 1,67
9/26/2024,Smartfone B,Celular,3,2000,6000,Loja 1,68
10/11/2024,Tablet B,Celular,3,1000,87000,Loja 1,69
1/17/2024,Tablet A,Celular,3,1100,44000,Loja 1,70
8/20/2024,Smartfone B,Celular,3,2000,92000,Loja 1,71
3/11/2024,Smartfone B,Celular,3,2000,182000,Loja 1,72
2/28/2024,Tablet A,Celular,3,1100,25300,Loja 1,73
11/23/2024,Smartfone B,Celular,3,2000,14000,Loja 1,74
2/26/2024,Notebook B,Computadores,3,2500,137500,Loja 1,75
4/7/2024,Tablet A,Celular,3,1100,22000,Loja 1,76
10/10/2024,Tablet A,Celular,3,1100,68200,Loja 1,77
8/10/2024,Tablet C,Celular,3,800,40800,Loja 1,78
11/10/2024,Notebook A,Computadores,3,3000,18000,Loja 1,79
1/17/2024,Tablet A,Celular,3,1100,96800,Loja 1,80
7/10/2024,Notebook B,Computadores,3,2500,65000,Loja 1,81
4/10/2024,Tablet A,Celular,3,1100,90200,Loja 1,82
10/7/2024,Tablet B,Celular,3,1000,71000,Loja 1,83
8/30/2024,Tablet B,Celular,3,1000,85000,Loja 1,84
3/11/2024,Notebook A,Computadores,3,3000,123000,Loja 1,85
10/4/2024,Notebook A,Computadores,4,3000,129000,Loja 1,86
5/23/2024,Smartfone A,Celular,4,2200,28600,Loja 1,87
10/21/2024,Smartfone B,Celular,4,2000,144000,Loja 1,88
12/18/2024,Notebook A,Computadores,4,3000,222000,Loja 1,89
12/1/2024,Tablet C,Celular,4,800,16000,Loja 1,90
5/11/2024,Smartfone B,Celular,4,2000,34000,Loja 1,91
6/4/2024,Tablet B,Celular,4,1000,23000,Loja 1,92
1/20/2024,Notebook A,Computadores,4,3000,105000,Loja 1,93
6/12/2024,Tablet A,Celular,4,1100,56100,Loja 1,94
12/27/2024,Notebook B,Computadores,4,2500,50000,Loja 1,95
7/18/2024,Tablet B,Celular,4,1000,46000,Loja 1,96
3/16/2024,Notebook B,Computadores,4,2500,195000,Loja 1,97
11/23/2024,Tablet C,Celular,4,800,6400,Loja 1,98
5/17/2024,Tablet B,Celular,4,1000,35000,Loja 1,99
8/28/2024,Tablet C,Celular,4,800,21600,Loja 1,100
12/28/2024,Notebook B,Computadores,4,2500,160000,Loja 1,101
7/25/2024,Tablet A,Celular,4,1100,36300,Loja 1,102
3/25/2024,Smartfone B,Celular,4,2000,190000,Loja 1,103
11/28/2024,Smartfone B,Celular,4,2000,156000,Loja 1,104
5/12/2024,Tablet B,Celular,4,1000,79000,Loja 1,105
12/20/2024,Tablet B,Celular,4,1000,36000,Loja 1,106
4/2/2024,Tablet B,Celular,4,1000,31000,Loja 1,107
11/16/2024,Smartfone A,Celular,4,2200,22000,Loja 1,108
10/31/2024,Smartfone A,Celular,4,2200,99000,Loja 1,109
8/6/2024,Tablet A,Celular,4,1100,22000,Loja 1,110
6/1/2024,Tablet B,Celular,4,1000,32000,Loja 1,111
3/15/2024,Notebook B,Computadores,4,2500,155000,Loja 1,112
8/6/2024,Smartfone B,Celular,4,2000,160000,Loja 1,113
8/21/2024,Tablet C,Celular,4,800,34400,Loja 1,114
1/2/2024,Notebook B,Computadores,4,2500,127500,Loja 1,115
3/15/2024,Tablet A,Celular,4,1100,77000,Loja 1,116
5/27/2024,Tablet A,Celular,4,1100,81400,Loja 1,117
10/3/2024,Tablet B,Celular,4,1000,19000,Loja 1,118
8/23/2024,Notebook A,Computadores,4,3000,51000,Loja 1,119
10/27/2024,Tablet B,Celular,4,1000,73000,Loja 1,120
8/9/2024,Smartfone B,Celular,4,2000,94000,Loja 1,121
10/15/2024,Smartfone B,Celular,4,2000,8000,Loja 1,122
8/25/2024,Smartfone B,Celular,4,2000,44000,Loja 1,123
4/25/2024,Tablet B,Celular,4,1000,89000,Loja 1,124
10/2/2024,Smartfone B,Celular,4,2000,182000,Loja 1,125
8/5/2024,Smartfone B,Celular,4,2000,158000,Loja 1,126
4/5/2024,Tablet A,Celular,4,1100,89100,Loja 1,127
11/13/2024,Notebook B,Computadores,4,2500,62500,Loja 1,128
8/17/2024,Tablet B,Celular,4,1000,64000,Loja 1,129
3/6/2024,Tablet B,Celular,4,1000,48000,Loja 1,130
4/28/2024,Notebook B,Computadores,4,2500,100000,Loja 1,131
3/1/2024,Tablet A,Celular,4,1100,44000,Loja 1,132
7/2/2024,Notebook B,Computadores,4,2500,67500,Loja 1,133
8/16/2024,Notebook B,Computadores,5,2500,212500,Loja 1,134
7/31/2024,Notebook B,Computadores,5,2500,197500,Loja 1,135
10/31/2024,Tablet C,Celular,5,800,44800,Loja 1,136
3/22/2024,Tablet A,Celular,5,1100,24200,Loja 1,137
1/12/2024,Tablet B,Celular,5,1000,14000,Loja 1,138
1/25/2024,Tablet B,Celular,5,1000,42000,Loja 1,139
9/25/2024,Tablet B,Celular,5,1000,12000,Loja 1,140
2/5/2024,Tablet C,Celular,5,800,75200,Loja 1,141
12/12/2024,Tablet B,Celular,5,1000,10000,Loja 1,142
9/10/2024,Smartfone B,Celular,5,2000,62000,Loja 1,143
7/30/2024,Tablet A,Celular,5,1100,44000,Loja 1,144
7/4/2024,Smartfone A,Celular,5,2200,112200,Loja 1,145
6/26/2024,Smartfone B,Celular,5,2000,28000,Loja 1,146
4/5/2024,Notebook B,Computadores,5,2500,155000,Loja 1,147
3/3/2024,Tablet A,Celular,5,1100,34100,Loja 1,148
8/9/2024,Tablet A,Celular,5,1100,95700,Loja 1,149
11/29/2024,Tablet B,Celular,5,1000,60000,Loja 1,150
5/7/2024,Tablet B,Celular,5,1000,68000,Loja 1,151
3/3/2024,Tablet C,Celular,5,800,66400,Loja 1,152
3/1/2024,Smartfone A,Celular,5,2200,114400,Loja 1,153
8/21/2024,Tablet A,Celular,5,1100,99000,Loja 1,154
5/18/2024,Smartfone B,Celular,5,2000,90000,Loja 1,155
12/15/2024,Tablet B,Celular,5,1000,64000,Loja 1,156
8/5/2024,Smartfone B,Celular,5,2000,164000,Loja 1,157
10/28/2024,Tablet B,Celular,5,1000,55000,Loja 1,158
5/14/2024,Smartfone B,Celular,5,2000,148000,Loja 1,159
12/29/2024,Notebook A,Computadores,6,3000,0,Loja 1,160
3/26/2024,Tablet A,Celular,6,1100,26400,Loja 1,161
1/2/2024,Tablet C,Celular,6,800,59200,Loja 1,162
5/31/2024,Notebook A,Computadores,6,3000,204000,Loja 1,163
8/21/2024,Tablet C,Celular,6,800,76000,Loja 1,164
10/3/2024,Smartfone B,Celular,6,2000,172000,Loja 1,165
9/24/2024,Tablet B,Celular,6,1000,8000,Loja 1,166
9/4/2024,Notebook A,Computadores,6,3000,147000,Loja 1,167
3/5/2024,Smartfone B,Celular,6,2000,116000,Loja 1,168
6/3/2024,Tablet B,Celular,6,1000,78000,Loja 1,169
1/31/2024,Smartfone A,Celular,6,2200,79200,Loja 1,170
8/27/2024,Notebook B,Computadores,6,2500,30000,Loja 1,171
6/2/2024,Smartfone B,Celular,6,2000,166000,Loja 1,172
8/11/2024,Notebook A,Computadores,6,3000,291000,Loja 1,173
4/12/2024,Smartfone B,Celular,6,2000,12000,Loja 1,174
2/20/2024,Tablet A,Celular,6,1100,60500,Loja 1,175
8/22/2024,Notebook B,Computadores,6,2500,165000,Loja 1,176
2/24/2024,Tablet B,Celular,6,1000,95000,Loja 1,177
8/24/2024,Tablet A,Celular,6,1100,49500,Loja 1,178
3/25/2024,Smartfone A,Celular,6,2200,191400,Loja 1,179
2/18/2024,Smartfone B,Celular,6,2000,178000,Loja 1,180
5/21/2024,Smartfone B,Celular,6,2000,66000,Loja 1,181
5/29/2024,Tablet A,Celular,6,1100,27500,Loja 1,182
5/2/2024,Tablet C,Celular,6,800,16800,Loja 1,183
12/14/2024,Notebook A,Computadores,6,3000,255000,Loja 1,184
11/28/2024,Notebook B,Computadores,6,2500,70000,Loja 1,185
8/5/2024,Tablet B,Celular,6,1000,20000,Loja 1,186
2/1/2024,Notebook A,Computadores,6,3000,195000,Loja 1,187
7/29/2024,Tablet B,Celular,6,1000,7000,Loja 1,188
12/24/2024,Notebook B,Computadores,6,2500,22500,Loja 1,189
9/14/2024,Tablet B,Celular,6,1000,18000,Loja 1,190
9/4/2024,Notebook B,Computadores,6,2500,45000,Loja 1,191
7/30/2024,Smartfone A,Celular,6,2200,107800,Loja 1,192
8/5/2024,Smartfone B,Celular,6,2000,158000,Loja 1,193
11/28/2024,Notebook B,Computadores,6,2500,142500,Loja 1,194
7/27/2024,Tablet A,Celular,6,1100,47300,Loja 1,195
1/27/2024,Smartfone B,Celular,6,2000,182000,Loja 1,196
5/7/2024,Tablet A,Celular,6,1100,97900,Loja 1,197
12/3/2024,Tablet B,Celular,6,1000,92000,Loja 1,198
10/2/2024,Smartfone B,Celular,7,2000,180000,Loja 1,199
6/1/2024,Notebook B,Computadores,7,2500,192500,Loja 1,200
5/29/2024,Notebook A,Computadores,7,3000,270000,Loja 1,201
2/3/2024,Smartfone A,Celular,7,2200,41800,Loja 1,202
11/30/2024,Tablet B,Celular,7,1000,90000,Loja 1,203
10/31/2024,Smartfone B,Celular,7,2000,76000,Loja 1,204
5/4/2024,Tablet B,Celular,7,1000,6000,Loja 1,205
10/2/2024,Smartfone A,Celular,7,2200,50600,Loja 1,206
9/12/2024,Tablet C,Celular,7,800,45600,Loja 1,207
2/14/2024,Tablet A,Celular,7,1100,5500,Loja 1,208
5/29/2024,Tablet B,Celular,7,1000,68000,Loja 1,209
2/28/2024,Tablet B,Celular,7,1000,53000,Loja 1,210
8/28/2024,Notebook B,Computadores,7,2500,85000,Loja 1,211
8/7/2024,Notebook A,Computadores,7,3000,264000,Loja 1,212
11/25/2024,Tablet B,Celular,7,1000,16000,Loja 1,213
1/8/2024,Smartfone B,Celular,7,2000,26000,Loja 1,214
8/30/2024,Tablet B,Celular,7,1000,6000,Loja 1,215
1/6/2024,Notebook B,Computadores,7,2500,187500,Loja 1,216
10/22/2024,Notebook A,Computadores,7,3000,216000,Loja 1,217
8/28/2024,Smartfone B,Celular,7,2000,24000,Loja 1,218
8/19/2024,Tablet C,Celular,7,800,25600,Loja 1,219
2/26/2024,Notebook B,Computadores,7,2500,100000,Loja 1,220
6/1/2024,Notebook B,Computadores,7,2500,110000,Loja 1,221
5/1/2024,Tablet B,Celular,7,1000,65000,Loja 1,222
8/23/2024,Tablet A,Celular,7,1100,104500,Loja 1,223
5/13/2024,Tablet B,Celular,7,1000,8000,Loja 1,224
9/21/2024,Tablet A,Celular,7,1100,27500,Loja 1,225
4/5/2024,Smartfone B,Celular,7,2000,192000,Loja 1,226
9/2/2024,Smartfone B,Celular,7,2000,12000,Loja 1,227
4/26/2024,Smartfone A,Celular,8,2200,15400,Loja 1,228
10/20/2024,Tablet A,Celular,8,1100,27500,Loja 1,229
2/15/2024,Smartfone B,Celular,8,2000,90000,Loja 1,230
2/16/2024,Smartfone B,Celular,8,2000,134000,Loja 1,231
3/31/2024,Tablet B,Celular,8,1000,80000,Loja 1,232
8/28/2024,Smartfone B,Celular,8,2000,62000,Loja 1,233
8/17/2024,Tablet C,Celular,8,800,,Loja 1,234
4/27/2024,Tablet C,Celular,8,800,4800,Loja 1,235
8/15/2024,Tablet C,Celular,8,800,35200,Loja 1,236
7/6/2024,Tablet B,Celular,8,1000,4000,Loja 1,237
10/24/2024,Smartfone B,Celular,8,2000,156000,Loja 1,238
3/25/2024,Tablet B,Celular,8,1000,36000,Loja 1,239
7/30/2024,Tablet B,Celular,8,1000,19000,Loja 1,240
3/24/2024,Tablet A,Celular,8,1100,75900,Loja 1,241
12/22/2024,Tablet B,Celular,8,1000,17000,Loja 1,242
2/7/2024,Tablet B,Celular,8,1000,28000,Loja 1,243
1/30/2024,Smartfone A,Celular,8,2200,96800,Loja 1,244
7/7/2024,Tablet B,Celular,8,1000,73000,Loja 1,245
9/27/2024,Notebook B,Computadores,8,2500,75000,Loja 1,246
3/21/2024,Tablet C,Celular,8,800,33600,Loja 1,247
5/22/2024,Tablet B,Celular,8,1000,50000,Loja 1,248
5/8/2024,Tablet A,Celular,8,1100,2200,Loja 1,249
1/1/2024,Tablet C,Celular,8,800,35200,Loja 1,250
12/9/2024,Smartfone B,Celular,8,2000,156000,Loja 1,251
12/13/2024,Tablet A,Celular,8,1100,39600,Loja 1,252
3/17/2024,Smartfone B,Celular,8,2000,132000,Loja 1,253
8/31/2024,Tablet B,Celular,8,1000,48000,Loja 1,254
4/26/2024,Notebook B,Computadores,8,2500,75000,Loja 1,255
6/20/2024,Tablet A,Celular,8,1100,105600,Loja 1,256
11/23/2024,Smartfone A,Celular,8,2200,15400,Loja 1,257
3/20/2024,Smartfone B,Celular,8,2000,80000,Loja 1,258
5/18/2024,Tablet A,Celular,8,1100,24200,Loja 1,259
6/15/2024,Tablet A,Celular,8,1100,67100,Loja 1,260
11/10/2024,Tablet B,Celular,8,1000,73000,Loja 1,261
1/31/2024,Smartfone B,Celular,9,2000,46000,Loja 1,262
4/16/2024,Tablet A,Celular,9,1100,62700,Loja 1,263
11/13/2024,Notebook B,Computadores,9,2500,82500,Loja 1,264
2/19/2024,Tablet B,Celular,9,1000,66000,Loja 1,265
10/15/2024,Tablet B,Celular,9,1000,4000,Loja 1,266
12/26/2024,Notebook A,Computadores,9,3000,33000,Loja 1,267
11/23/2024,Notebook A,Computadores,9,3000,177000,Loja 1,268
8/14/2024,Tablet B,Celular,9,1000,55000,Loja 1,269
11/14/2024,Tablet A,Celular,9,1100,40700,Loja 1,270
6/22/2024,Tablet B,Celular,9,1000,9000,Loja 1,271
8/13/2024,Tablet B,Celular,9,1000,70000,Loja 1,272
3/2/2024,Notebook B,Computadores,9,2500,25000,Loja 1,273
1/2/2024,Tablet C,Celular,9,800,30400,Loja 1,274
1/23/2024,Smartfone B,Celular,9,2000,28000,Loja 1,275
4/11/2024,Tablet A,Celular,9,1100,25300,Loja 1,276
4/11/2024,Tablet A,Celular,9,1100,61600,Loja 1,277
10/16/2024,Smartfone B,Celular,9,2000,74000,Loja 1,278
10/24/2024,Smartfone B,Celular,9,2000,98000,Loja 1,279
11/8/2024,Tablet B,Celular,9,1000,34000,Loja 1,280
9/25/2024,Tablet B,Celular,9,1000,2000,Loja 1,281
4/25/2024,Smartfone B,Celular,9,2000,192000,Loja 1,282
1/26/2024,Tablet B,Celular,9,1000,21000,Loja 1,283
6/2/2024,Tablet B,Celular,9,1000,95000,Loja 1,284
9/8/2024,Tablet A,Celular,9,1100,11000,Loja 1,285
11/3/2024,Tablet B,Celular,9,1000,20000,Loja 1,286
4/10/2024,Tablet A,Celular,10,1100,4400,Loja 1,287
3/14/2024,Tablet B,Celular,10,1000,95000,Loja 1,288
8/10/2024,,Celular,10,1000,50000,Loja 1,289
1/12/2024,Notebook B,Computadores,10,2500,40000,Loja 1,290
7/17/2024,Tablet C,Celular,10,800,56000,Loja 1,291
8/24/2024,Tablet A,Celular,10,1100,24200,Loja 1,292
6/27/2024,Notebook B,Computadores,10,2500,140000,Loja 1,293
11/19/2024,Tablet B,Celular,10,1000,35000,Loja 1,294
8/29/2024,Tablet B,Celular,10,1000,13000,Loja 1,295
7/12/2024,Notebook A,Computadores,10,3000,78000,Loja 1,296
11/21/2024,Tablet B,Celular,10,1000,27000,Loja 1,297
11/29/2024,Smartfone B,Celular,10,2000,114000,Loja 1,298
11/8/2024,Tablet B,Celular,10,1000,31000,Loja 1,299
1/20/2024,Notebook B,Computadores,10,2500,45000,Loja 1,300
12/30/2024,Tablet B,Celular,10,1000,17000,Loja 1,301
7/7/2024,Tablet A,Celular,10,1100,38500,Loja 1,302
3/2/2024,Smartfone B,Celular,10,2000,56000,Loja 1,303
5/1/2024,Notebook B,Computadores,10,2500,40000,Loja 1,304
5/25/2024,Notebook A,Computadores,10,3000,186000,Loja 1,305
12/1/2024,Smartfone B,Celular,10,2000,148000,Loja 1,306
1/17/2024,Smartfone B,Celular,10,2000,152000,Loja 1,307
10/23/2024,Tablet B,Celular,10,1000,95000,Loja 1,308
1/27/2024,Tablet B,Celular,10,1000,83000,Loja 1,309
1/1/2024,Tablet B,Celular,10,1000,62000,Loja 1,310
11/1/2024,Tablet B,Celular,10,1000,17000,Loja 1,311
4/5/2024,Notebook B,Computadores,10,2500,70000,Loja 1,312
7/29/2024,Smartfone B,Celular,10,2000,94000,Loja 1,313
12/17/2024,Notebook B,Computadores,10,2500,187500,Loja 1,314
10/11/2024,Tablet A,Celular,10,1100,78100,Loja 1,315
6/17/2024,Notebook A,Computadores,10,3000,24000,Loja 1,316
3/29/2024,Tablet A,Celular,11,1100,86900,Loja 1,317
1/30/2024,Smartfone B,Celular,11,2000,142000,Loja 1,318
1/15/2024,Notebook A,Computadores,11,3000,9000,Loja 1,319
10/29/2024,Smartfone B,Celular,11,2000,116000,Loja 1,320
12/31/2024,Smartfone A,Celular,11,2200,151800,Loja 1,321
1/27/2024,Tablet C,Celular,11,800,48800,Loja 1,322
3/14/2024,Notebook B,Computadores,11,2500,57500,Loja 1,323
4/16/2024,Notebook A,Computadores,11,3000,186000,Loja 1,324
6/15/2024,Tablet B,Celular,11,1000,61000,Loja 1,325
6/14/2024,Tablet B,Celular,11,1000,41000,Loja 1,326
4/16/2024,Tablet B,Celular,11,1000,82000,Loja 1,327
10/30/2024,Tablet B,Celular,11,1000,73000,Loja 1,328
5/7/2024,Smartfone B,Celular,11,2000,150000,Loja 1,329
5/27/2024,Tablet B,Celular,11,1000,52000,Loja 1,330
11/10/2024,Tablet A,Celular,11,1100,16500,Loja 1,331
9/1/2024,Smartfone B,Celular,11,2000,190000,Loja 1,332
5/21/2024,Tablet A,Celular,11,1100,39600,Loja 1,333
11/18/2024,Notebook B,Computadores,11,2500,27500,Loja 1,334
10/22/2024,Notebook B,Computadores,11,2500,167500,Loja 1,335
6/5/2024,Tablet B,Celular,11,1000,40000,Loja 1,336
2/19/2024,Tablet B,Celular,11,1000,32000,Loja 1,337
7/17/2024,Tablet A,Celular,11,1100,92400,Loja 1,338
6/28/2024,Tablet C,Celular,11,800,11200,Loja 1,339
5/21/2024,Tablet A,Celular,11,1100,85800,Loja 1,340
3/8/2024,Tablet C,Celular,12,800,42400,Loja 1,341
11/19/2024,Smartfone B,Celular,12,2000,112000,Loja 1,342
9/22/2024,Tablet B,Celular,12,1000,5000,Loja 1,343
5/27/2024,Tablet B,Celular,12,1000,65000,Loja 1,344
1/31/2024,Notebook B,Computadores,12,2500,25000,Loja 1,345
12/3/2024,Tablet B,Celular,12,1000,57000,Loja 1,346
9/13/2024,Tablet A,Celular,12,1100,42900,Loja 1,347
3/3/2024,Tablet B,Celular,12,1000,54000,Loja 1,348
5/1/2024,Smartfone B,Celular,12,2000,94000,Loja 1,349
2/5/2024,Tablet B,Celular,12,1000,83000,Loja 1,350
7/5/2024,Smartfone B,Celular,12,2000,124000,Loja 1,351
7/27/2024,Tablet B,Celular,12,1000,51000,Loja 1,352
6/16/2024,Smartfone B,Celular,12,2000,188000,Loja 1,353
1/23/2024,Notebook A,Computadores,12,3000,12000,Loja 1,354
7/28/2024,Smartfone B,Celular,12,2000,176000,Loja 1,355
10/7/2024,Tablet B,Celular,12,1000,12000,Loja 1,356
4/29/2024,Tablet A,Celular,12,1100,95700,Loja 1,357
1/10/2024,Smartfone B,Celular,12,2000,72000,Loja 1,358
12/16/2024,Smartfone A,Celular,12,2200,129800,Loja 1,359
12/30/2024,Tablet A,Celular,12,1100,55000,Loja 1,360
2/24/2024,Smartfone B,Celular,12,2000,22000,Loja 1,361
12/26/2024,Tablet B,Celular,12,1000,91000,Loja 1,362
1/6/2024,Tablet C,Celular,12,8000000000,384000000000,Loja 1,363
9/6/2024,Tablet B,Celular,12,1000,25000,Loja 1,364
4/16/2024,Notebook B,Computadores,12,2500,12500,Loja 1,365
2/12/2024,Tablet B,Celular,12,1000,2000,Loja 1,366
5/13/2024,Notebook B,Computadores,13,2500,207500,Loja 1,367
1/28/2024,Notebook A,Computadores,13,3000,141000,Loja 1,368
5/30/2024,Smartfone B,Celular,13,2000,8000,Loja 1,369
6/9/2024,Tablet B,Celular,13,1000,61000,Loja 1,370
2/27/2024,Tablet B,Celular,13,1000,11000,Loja 1,371
1/21/2024,Smartfone B,Celular,13,2000,116000,Loja 1,372
6/23/2024,Tablet B,Celular,13,1000,11000,Loja 1,373
10/30/2024,Tablet A,Celular,13,1100,19800,Loja 1,374
8/6/2024,Tablet A,Celular,13,1100,59400,Loja 1,375
1/13/2024,Smartfone B,Celular,13,2000,172000,Loja 1,376
11/13/2024,Notebook A,Computadores,13,3000,192000,Loja 1,377
11/15/2024,Smartfone A,Celular,13,2200,63800,Loja 1,378
10/3/2024,Tablet C,Celular,13,800,10400,Loja 1,379
9/14/2024,Notebook B,Computadores,13,2500,80000,Loja 1,380
1/8/2024,Tablet A,Celular,13,1100,72600,Loja 1,381
8/10/2024,Smartfone B,Celular,13,2000,52000,Loja 1,382
7/29/2024,Smartfone A,Celular,13,2200,198000,Loja 1,383
1/13/2024,Tablet A,Celular,13,1100,107800,Loja 1,384
6/22/2024,Tablet B,Celular,13,1000,59000,Loja 1,385
1/19/2024,Tablet B,Celular,13,1000,4000,Loja 1,386
5/8/2024,Smartfone B,Celular,13,2000,92000,Loja 1,387
9/19/2024,Smartfone A,Celular,13,2200,77000,Loja 1,388
9/14/2024,Smartfone B,Celular,13,2000,164000,Loja 1,389
7/18/2024,Smartfone A,Celular,13,2200,178200,Loja 1,390
10/5/2024,Tablet B,Celular,14,1000,30000,Loja 1,391
8/30/2024,Smartfone B,Celular,14,2000,178000,Loja 1,392
11/13/2024,Tablet C,Celular,14,800,64800,Loja 1,393
8/25/2024,Smartfone B,Celular,14,2000,126000,Loja 1,394
8/23/2024,Tablet B,Celular,14,1000,4000,Loja 1,395
10/3/2024,Tablet B,Celular,14,1000,56000,Loja 1,396
12/16/2024,Notebook B,Computadores,14,2500,135000,Loja 1,397
1/16/2024,Tablet A,Celular,14,1100,86900,Loja 1,398
6/10/2024,Tablet A,Celular,14,1100,62700,Loja 1,399
6/19/2024,Tablet B,Celular,14,1000,51000,Loja 1,400
11/19/2024,Smartfone B,Celular,14,2000,160000,Loja 1,401
12/30/2024,Notebook A,Computadores,14,3000,114000,Loja 1,402
7/3/2024,Tablet A,Celular,14,1100,8800,Loja 1,403
11/25/2024,Tablet B,Celular,14,1000,40000,Loja 1,404
5/5/2024,Tablet C,Celular,14,800,63200,Loja 1,405
8/15/2024,Notebook B,Computadores,14,2500,207500,Loja 1,406
5/4/2024,Tablet B,Celular,14,1000,6000,Loja 1,407
2/22/2024,Tablet B,Celular,14,1000,27000,Loja 1,408
1/20/2024,Tablet B,Celular,14,1000,20000,Loja 1,409
8/23/2024,Tablet B,Celular,14,1000,40000,Loja 1,410
2/24/2024,Tablet A,Celular,14,1100,95700,Loja 1,411
6/10/2024,Smartfone B,Celular,14,2000,120000,Loja 1,412
12/25/2024,Tablet B,Celular,14,1000,58000,Loja 1,413
2/8/2024,Smartfone A,Celular,14,2200,55000,Loja 1,414
12/17/2024,Notebook A,Computadores,14,3000,138000,Loja 1,415
4/11/2024,Tablet A,Celular,14,1100,42900,Loja 1,416
